"114 E Coronado Rd, Phoenix, AZ 85004",235000.0,0.0,0.0,0.0,2020-09-24,NaN,33.45156,-112.06986
"127 E Palm Ln #A, Phoenix, AZ 85004",331000.0,2.0,2.0,0.0,2020-09-24,NaN,33.45156,-112.06986
"127A E Palm Ln, Phoenix, AZ 85004",335000.0,2.0,2.0,0.0,2020-09-24,NaN,33.45156,-112.06986
"906 N 5th St, Phoenix, AZ 85004",561039.0,1.0,0.0,0.0,2020-09-23,NaN,33.45156,-112.06986
"523 E Roanoke Ave APT B, Phoenix, AZ 85004",150000.0,2.0,0.0,0.0,2020-09-23,NaN,33.45156,-112.06986
"51 E Vernon Ave, Phoenix, AZ 85004",603000.0,2.0,3.0,0.0,2020-09-22,NaN,33.45156,-112.06986
"310 S 4th St UNIT 502, Phoenix, AZ 85004",249950.0,2.0,1.0,0.0,2020-09-17,NaN,33.45156,-112.06986
"2302 N Central Ave UNIT 311, Phoenix, AZ 85004",260000.0,2.0,2.0,0.0,2020-09-16,NaN,33.45156,-112.06986
"130 E Alvarado Rd, Phoenix, AZ 85004",530000.0,2.5,3.0,0.0,2020-09-16,NaN,33.45156,-112.06986
"100 E Fillmore St UNIT 226, Phoenix, AZ 85004",260000.0,2.0,2.0,0.0,2020-09-16,NaN,33.45156,-112.06986
"2302 N Central Ave UNIT 615, Phoenix, AZ 85004",347500.0,2.0,2.0,0.0,2020-09-10,NaN,33.45156,-112.06986
"310 S 4th St UNIT 1508, Phoenix, AZ 85004",270000.0,1.5,1.0,0.0,2020-09-09,NaN,33.45156,-112.06986
"310 S 4th St UNIT 1803, Phoenix, AZ 85004",275000.0,2.0,1.0,0.0,2020-09-09,NaN,33.45156,-112.06986
"1120 E 3rd St, Phoenix, AZ 85004",120000.0,1.0,3.0,0.0,2020-09-03,NaN,33.45156,-112.06986
"310 S 4th St UNIT 1408, Phoenix, AZ 85004",266500.0,1.5,1.0,0.0,2020-09-01,https://photos.zillowstatic.com/fp/2e4f67dc16db6ef1e3e57b67d1191ee0-p_e.jpg,33.45156,-112.06986
"2323 N Central Ave UNIT 202, Phoenix, AZ 85004",224900.0,2.0,2.0,0.0,2020-09-01,https://photos.zillowstatic.com/fp/8ff9f948707f6da6f4f7604770d9e3c9-p_e.jpg,33.45156,-112.06986
"310 S 4th St UNIT 1107, Phoenix, AZ 85004",245000.0,2.0,1.0,0.0,2020-08-28,https://photos.zillowstatic.com/fp/f049df885866ae5243c22e1e999ea5d9-p_e.jpg,33.45156,-112.06986
"525 E Willetta St APT 1, Phoenix, AZ 85004",345000.0,2.5,2.0,0.0,2020-08-25,https://photos.zillowstatic.com/p_e/IS76sftx2jpgle0000000000.jpg,33.45156,-112.06986
"525 E Willetta St APT 1, Phoenix, AZ 85004",350000.0,2.0,0.0,0.0,2020-08-25,NaN,33.45156,-112.06986
"615 E Portland St UNIT 163, Phoenix, AZ 85004",295000.0,2.0,2.0,0.0,2020-08-21,https://photos.zillowstatic.com/fp/1dace810a09d466480ab39f6c901c501-p_e.jpg,33.45156,-112.06986
"615 E Portland St UNIT 182, Phoenix, AZ 85004",300000.0,2.0,2.0,0.0,2020-08-21,NaN,33.45156,-112.06986
"1326 N Central Ave UNIT 415, Phoenix, AZ 85004",497000.0,2.0,2.0,0.0,2020-08-17,NaN,33.45156,-112.06986
"310 S 4th St UNIT 1703, Phoenix, AZ 85004",254000.0,1.5,1.0,0.0,2020-08-17,NaN,33.45156,-112.06986
"2323 N Central Ave #1906/01, Phoenix, AZ 85004",590000.0,4.0,3.0,0.0,2020-08-05,NaN,33.45156,-112.06986
"2323 N Central Ave UNIT 1906, Phoenix, AZ 85004",340000.0,2.0,2.0,0.0,2020-08-05,NaN,33.45156,-112.06986
"2323 N Central Ave UNIT 1901, Phoenix, AZ 85004",250000.0,4.0,3.0,0.0,2020-08-05,NaN,33.45156,-112.06986
"529 E Ames Pl, Phoenix, AZ 85004",446000.0,3.5,3.0,0.0,2020-08-03,NaN,33.45156,-112.06986
"325 E Coronado Rd UNIT 15, Phoenix, AZ 85004",440000.0,2.5,2.0,0.0,2020-08-03,NaN,33.45156,-112.06986
"310 S 4th St UNIT 1410, Phoenix, AZ 85004",395000.0,2.5,2.0,0.0,2020-07-31,NaN,33.45156,-112.06986
"310 S 4th St UNIT 1210, Phoenix, AZ 85004",395000.0,2.5,2.0,0.0,2020-07-31,NaN,33.45156,-112.06986
"2302 N Central Ave UNIT 601, Phoenix, AZ 85004",444900.0,2.0,2.0,0.0,2020-07-31,NaN,33.45156,-112.06986
"1326 N Central Ave UNIT 201, Phoenix, AZ 85004",510000.0,2.0,3.0,0.0,2020-07-24,NaN,33.45156,-112.06986
"424 S 2nd St UNIT 204, Phoenix, AZ 85004",300000.0,2.0,1.0,0.0,2020-07-23,NaN,33.45156,-112.06986
"215 E Mckinley St SUITE 206, Phoenix, AZ 85004",275000.0,1.5,1.0,0.0,2020-07-20,NaN,33.45156,-112.06986
"1613 S 5th St, Phoenix, AZ 85004",164500.0,1.0,2.0,0.0,2020-07-20,NaN,33.45156,-112.06986
"310 S 4th St UNIT 710, Phoenix, AZ 85004",241000.0,1.5,1.0,0.0,2020-07-17,NaN,33.45156,-112.06986
"35 E Hoover Ave, Phoenix, AZ 85004",580000.0,2.0,3.0,0.0,2020-07-15,NaN,33.45156,-112.06986
"45 E Woodward Dr, Phoenix, AZ 85004",599000.0,2.0,3.0,0.0,2020-07-13,NaN,33.45156,-112.06986
"2302 N Central Ave UNIT 406, Phoenix, AZ 85004",252750.0,2.0,2.0,0.0,2020-07-10,NaN,33.45156,-112.06986
"122 E Alvarado Rd, Phoenix, AZ 85004",775000.0,3.0,3.0,0.0,2020-07-08,NaN,33.45156,-112.06986
"416 E Mohave St, Phoenix, AZ 85004",185500.0,2.0,3.0,0.0,2020-07-03,NaN,33.45156,-112.06986
"221 E Tonto St, Phoenix, AZ 85004",155000.0,2.0,4.0,0.0,2020-07-01,NaN,33.45156,-112.06986
"2323 N Central Ave UNIT 404, Phoenix, AZ 85004",560000.0,2.0,2.0,0.0,2020-06-30,NaN,33.45156,-112.06986
"610 E Roosevelt St UNIT 143, Phoenix, AZ 85004",289000.0,2.0,2.0,0.0,2020-06-26,NaN,33.45156,-112.06986
"742 S 1st St, Phoenix, AZ 85004",130000.0,1.0,3.0,0.0,2020-06-19,NaN,33.45156,-112.06986
"1130 N 2nd St #313, Phoenix, AZ 85004",259950.0,1.0,1.0,0.0,2020-06-12,https://photos.zillowstatic.com/p_e/ISnu9apl8wgwso1000000000.jpg,33.45156,-112.06986
"100 E Fillmore St UNIT 113, Phoenix, AZ 85004",259000.0,1.0,2.0,0.0,2020-06-12,https://photos.zillowstatic.com/fp/e57da6198192fe003ece7bed2a4b9c14-p_e.jpg,33.45156,-112.06986
"615 E Portland St UNIT 156, Phoenix, AZ 85004",380000.0,3.0,3.0,0.0,2020-06-05,https://photos.zillowstatic.com/fp/690ae19640403b957505f0a116adaf12-p_e.jpg,33.45156,-112.06986
"509 E Ames Pl, Phoenix, AZ 85004",445000.0,4.0,3.0,0.0,2020-06-03,https://photos.zillowstatic.com/p_e/ISzfywfyxr4ont0000000000.jpg,33.45156,-112.06986
"4864 S Deer Trl, Phoenix, AZ 85004",343498.0,2.0,3.0,0.0,2020-06-02,https://photos.zillowstatic.com/fp/0c26923655529e93a7ffcc8d39d7ba56-p_e.jpg,33.45156,-112.06986
"424 S 2nd St UNIT 307, Phoenix, AZ 85004",283000.0,1.5,1.0,0.0,2020-05-29,https://photos.zillowstatic.com/fp/1994448cdbb8df0b6a652f90f7c59721-p_e.jpg,33.45156,-112.06986
"475 N 9th St #104, Phoenix, AZ 85006",219500.0,1.0,1.0,0.0,2020-11-17,https://photos.zillowstatic.com/p_e/ISvc94hltofqjv0000000000.jpg,33.46516,-112.04789
"475 N 9th St #202, Phoenix, AZ 85006",223000.0,1.0,1.0,0.0,2020-11-17,https://photos.zillowstatic.com/p_e/ISn2gs5ms1duyw1000000000.jpg,33.46516,-112.04789
"2234 N 10th St, Phoenix, AZ 85006",735000.0,2.0,4.0,0.0,2020-11-17,https://photos.zillowstatic.com/fp/fddba333a0bd1e282ece60edc23437d7-p_e.jpg,33.46516,-112.04789
"1408 E Hoover Ave, Phoenix, AZ 85006",270000.0,1.0,3.0,0.0,2020-11-17,https://photos.zillowstatic.com/fp/7c194b852bfebbe95481d0e36e0ea6f0-p_e.jpg,33.46516,-112.04789
"1735 E Yale St, Phoenix, AZ 85006",300000.0,1.0,3.0,0.0,2020-11-16,https://photos.zillowstatic.com/fp/4f853aadc7cab2025bee88686efe9394-p_e.jpg,33.46516,-112.04789
"1922 N 21st Pl, Phoenix, AZ 85006",243390.0,2.0,2.0,0.0,2020-11-16,https://photos.zillowstatic.com/fp/505f40bcbcfa89939e4e207d52e2ece2-p_e.jpg,33.46516,-112.04789
"475 N 9th St #106, Phoenix, AZ 85006",209500.0,1.0,1.0,0.0,2020-11-13,https://photos.zillowstatic.com/p_e/IS3fwlyxanzo7z0000000000.jpg,33.46516,-112.04789
"1739 E Granada Rd, Phoenix, AZ 85006",386750.0,2.0,3.0,0.0,2020-11-13,https://photos.zillowstatic.com/fp/bbac95696c233b4178b15c5ab41f23f9-p_e.jpg,33.46516,-112.04789
"1428 E Portland St, Phoenix, AZ 85006",287500.0,1.0,2.0,0.0,2020-11-13,https://photos.zillowstatic.com/fp/8e25e1fb40d3cb4faa9c1c11d60a0dff-p_e.jpg,33.46516,-112.04789
"2318 N Mitchell St, Phoenix, AZ 85006",460000.0,2.0,2.0,0.0,2020-11-12,NaN,33.46516,-112.04789
"2512 N 10th St, Phoenix, AZ 85006",472000.0,2.0,3.0,0.0,2020-11-12,NaN,33.46516,-112.04789
"2205 N 21st St, Phoenix, AZ 85006",339900.0,2.0,3.0,0.0,2020-11-12,NaN,33.46516,-112.04789
"2538 N 9th St, Phoenix, AZ 85006",260000.0,1.0,2.0,0.0,2020-11-10,NaN,33.46516,-112.04789
"E Oak St, Phoenix, AZ 85006",490000.0,2.5,2.0,0.0,2020-11-10,NaN,33.46516,-112.04789
